context.trace_id,input,reference,document_score
31caf41473df8b1f532028492292cf41,What are the procurement standards?,"Dhabi Procurement Standards ## Section 2: Application of the Procurement Standards ## 2.1. Applicability of the Procurement Standards - The Procurement Standards shall be implemented in their entirety and within the flexibility defined therein. Partial implementation of the Procurement Standards is not allowed. A - The Procurement Standards shall be applicable to the government entities and any other organisation included through a resolution issued by the Executive Council or by any other body authorised by the Executive Council. B ## 2.2. Compliance with the Procurement Standards - The Procurement Practitioners must have knowledge and understanding of the Procurement Standards. A - The head of the Procurement shall ensure that Procurement Standards are communicated and made available to all the relevant stakeholders across the government entity. B - The head of the Procurement shall be responsible for ensuring that the Procurement Practitioners act in compliance with the Procurement Standards. C. - The head of the Procurement and the Procurement Practitioners shall sign a declaration undertaking the responsibility to ensure that the procurement function of the government entity operates in compliance with the Procurement Standards. D. ## 2.3. Procurement Manual - The government entity must implement the Procurement Manual issued pursuant to the Abu Dhabi Procurement Standards. The Executive Council or the relevant body authorised by the Executive Council may exclude any government entity from the application of the Procurement Manual. A - The Procurement Manual shall be consistent with the Procurement Standards and shall include the methodology and procedures of the procurement. B - The Procurement Manual shall be updated periodically to ensure that best practices are applied in procurement operations. C. - The head of the Procurement shall be responsible for ensuring that the Procurement implements the Procurement Manual. ## 2.4. Quality Assurance - The head of the Procurement shall prepare and maintain a quality assurance and improvement program that covers all aspects of the procurement function. A Abu Dhabi Procurement Standards - The head of the Procurement shall obtain approval of the quality assurance and improvement program from the Procurement Committee. B - The quality assurance and improvement program shall assess compliance of the procurement function with the Procurement Standards, the Procurement Manual and the Code of Business Ethics. This program shall include an evaluation of the effectiveness and efficiency of the procurement function and the identification of opportunities for improvement. C. ## 2.5. Interpretation of the Procurement Standards - Dedicated procurement professionals authorised for maintaining the Procurement Standards shall be responsible for responding to queries regarding the Procurement Standards. ##

This chunk covers the application, compliance, and quality assurance aspects related to the Abu Dhabi Procurement Standards within government entities.",0.7820773308000001
31caf41473df8b1f532028492292cf41,What are the procurement standards?,"## 3.2. Types of Procurement - The Procurement is divided into the following three main types: A - A1. Procurement of goods - A2. Procurement of services - A3. Procurement of projects including capital assets - The procurement of goods, services and projects is facilitated through execution of the following: B - B1. Price List Agreements - B2. Contracts - B3. Orders The individual separation requires the approval of any performed activity by another individual. A - Segregation of duties requires separation of requestors or receivers and accounts personnel, as well as separation of requestors and approvers. B - The Procurement shall maintain an electronic audit trail documenting the segregation of duties for each sourcing event and each transaction. C. ## 3.7. Procurement Delegation of Authority - The Procurement Delegation of Authority, the PDoA, shall describe division of authority and powers in the government entity related to procurement operations. A - The PDoA must contain all the financial and non-financial authorisers related to all procurement activities. B Abu Dhabi Procurement Standards ## Section 4: Procurement Clients and Partners

This chunk outlines the different types of procurement (goods, services, projects) facilitated through price list agreements, contracts, and orders. It also discusses segregation of duties, electronic audit trails, and the Procurement Delegation of Authority (PDoA) which describes the division of authority and authorizers related to procurement activities within the government entity.",0.7416784187000001
31caf41473df8b1f532028492292cf41,What are the procurement standards?,"Enablement Standards The Enablement Standards define the attributes of functions and individuals involved in procurement operations. They describe requirements for actors, relations and setup conditions required to perform the procurement effectively. ## Section 3: Procurement Function ## 3.1. Procurement Charter - The Procurement Charter defines the obligatory roles in the procurement function and mechanism of its governance in line with the Procurement Framework. A - The Procurement Charter defines the committees required for the procurement operations, in particular the roles and responsibilities of the Procurement Committee and the Tendering Committee. B - The head of the Procurement shall ensure that procurement operations are in accordance with the Procurement Charter. C.

This chunk outlines the Enablement Standards, which define the requirements for entities involved in procurement operations. Specifically, it describes the Procurement Charter that establishes the roles, committees, and governance mechanisms for the procurement function within the organization.",0.7348216772
31caf41473df8b1f532028492292cf41,What are the procurement standards?,"and business performed successfully - A6. Historical Supplier performance assessed by evaluating the Supplier performance scores available in the Procurement Gate - The Procurement may seek to engage diverse and underrepresented Suppliers based on the strategic goals and objectives approved by the appropriate government authority. B - The End-users may recommend registered Suppliers for sourcing. The Procurement is encouraged to augment the list of recommended Suppliers based on the Supplier database, previous contracts and market research. C. - In case of the procurement of projects, the Procurement shall include any Suppliers proposed during the planning. The Supplier screening criteria for the procurement of projects may be recommended by the End-user of the project. D. ## 10.10. Solicitation Documents - The Procurement Practitioners responsible for managing categories shall work in collaboration with the End-users to ensure that solicitation documents prepared for the sourcing events include at the minimum: A - A1. The details of issuing authority assigned to administer the solicitation - A2. Method, required content, format and timeline for response submission - A3. Criteria for evaluation and awarding procedure - A4. Provisions for negotiations, if required - A5. Draft contract with terms and conditions and any other requirements provisioned for the delivery of goods, services and projects including sub-contracting - A6. Non-disclosure agreement and no-conflict of interest undertaking required of the government entity's Suppliers - The Procurement is encouraged to utilise the standard templates available in the Procurement Gate for solicitation. B ## 10.11. Financial Instruments -

This chunk discusses the guidelines and criteria for screening and selecting suppliers during the sourcing process, as well as the requirements for solicitation documents and financial instruments involved in the procurement process.",0.7342450060000001
31caf41473df8b1f532028492292cf41,What are the procurement standards?,"the Procurement Gate. ## 10.26. Conditions for Contracting - The Procurement shall establish contracts at a minimum, for the following: A - A1. Commitments where the financial impact of non-performance by the Supplier would have a strong adverse effect on the government entity - A2. Procurement of frequently requested goods and services - A3. Procurement of goods, services and projects which includes a complex scope of work, even if not frequently requested - A4. The procurement of projects involving commissioning, extended warranties, support and maintenance - A5. Performance-based arrangements where the financial return to the Supplier is based on achieving certain targets - A6. Lease or rental of equipment and or associated services - A7. Any procurement that will be subject to statutory requirements - A8. Procurement of proprietary goods, services and projects - A9. Procurement of goods, services or projects which involves ownership, sharing or licensing of intellectual property either by the Supplier or the government entity

This chunk outlines the conditions under which the procurement function should establish contracts when procuring goods, services or projects from suppliers.",0.7207636709
31caf41473df8b1f532028492292cf41,What are the procurement standards?,"required for successful procurement planning, along with their expected contribution. The procurement planning, especially any exchange of information and correspondence with the stakeholders, shall be documented for traceability and probity. B ## 9.12.

This chunk is about stakeholder collaboration for procurement planning, specifically documenting the expected contributions from stakeholders and maintaining records of information exchange and correspondence for traceability and probity.",0.7197772242
31caf41473df8b1f532028492292cf41,What are the procurement standards?,"## 12.1. Supplier Registration - Supplier registration shall be done in the Procurement Gate by the team responsible for managing the Supplier master data. A - The Procurement shall ensure that the Supplier provides the information required for registration including but not limited to valid trade license having activities relevant for submitted categories, tax registration and banking details. B - The Procurement shall carry out Supplier qualification once the Supplier has been registered in the Procurement Gate and has provided the necessary documentation. C. perform Supplier segmentation at a regular frequency, to ensure that a Suppliers' classification reflects Suppliers' performance and their relationship with the government entity. The segmentation of the Supplier shall be reflected in the Procurement Gate. - The Procurement shall develop specific guidelines to manage relationships for each of the Supplier segments. E

The chunk describes the process of supplier registration, qualification, segmentation, and guidelines for managing supplier relationships within the procurement function of the government entity.",0.7158015791
31caf41473df8b1f532028492292cf41,What are the procurement standards?,"Introduction ## 1.1 Introduction to the Procurement Manual ## 1.1.1 Purpose of the Procurement Manual The Procurement Manual provides operational procedures to the Procurement practitioners. It reinforces the Procurement Standards, the Procurement Charter, and the Procurement Delegation of Authority (PDoA), giving a more detailed explanation of their application. ## 1.1.2 Scope of the Procurement Manual The Procurement Manual applies to all procurement activities conducted by the government Entities and the Government Procurement Office (GPO). The Executive Council (EC), or a relevant body authorised by the EC, may exclude an Entity from the application of the Procurement Manual. The Procurement Manual covers all relevant procurement processes and serves as the operational framework. ## 1.1.2.(I) List of Exemptions The Procurement Manual does not apply to: - a) Staff salaries and benefits - b) Direct employment contracts or the engagement of individual experts which cannot be subject to tender - c) General and administration expenses for non-predefined technical specifications, electricity, water, utilities, accommodation rentals provided to the employees and governed by the housing policies, professional and

This chunk covers the Supplier Performance and Relationship Management, Requisition to Pay, Risk and Regulations, Supplier Master Data Management, Item Master Data Management, and User Master Data Management processes within the procurement manual.",0.7127889477
31caf41473df8b1f532028492292cf41,What are the procurement standards?,"The Procurement shall set strategic goals and objectives based on the vision and mission. The goals describe what will happen and objectives describe what will be achieved. A - The Procurement shall cascade down the objectives and goals agreed collaboratively with the End-users and the Finance. The Procurement shall set key performance indicators that will be used to report fulfilment of the procurement strategy. B - The head of the Procurement shall ensure that all stakeholders in the government entity, including the Procurement Practitioners, are aware of the strategic goals and objectives. C. - The head of the Procurement shall assign performance objectives to the Procurement Practitioners in line with the strategic goals of the procurement function. These objectives shall be used to assess the performance of the Procurement Practitioners. D - The Strategic goals and objectives of procurement strategy shall relate, but are not limited to: E - E1. Capabilities, processes and organisation of the Procurement - E2. Planned delivery of the procurement services including ongoing and upcoming projects and contracts in place as well as planned - E3. Category management with approach, structure, and content of the actual strategies - E4. Sourcing management as execution part of the category strategies and ad-hoc requests - E5. Contract management and Supplier management following the results of the sourcing - E6. Requisition to pay operations ## 8.4. Implementation of the Procurement Strategy -

This chunk describes the process of setting strategic goals and objectives for the procurement function, including cascading objectives to stakeholders, assigning performance objectives to procurement practitioners, and outlining the key areas related to the procurement strategy such as category management, sourcing, contract management, and requisition to pay operations. It also mentions the implementation of the procurement strategy.",0.7061044924000001
31caf41473df8b1f532028492292cf41,What are the procurement standards?,"## 12.5. Guidelines for Managing Supplier Performance - The Procurement shall drive ongoing and post contract Supplier performance management, at the minimum, adhering to the following guidelines: A - A1. The performance evaluation shall be performed for all Suppliers periodically. - A2. Supplier performance shall be recorded and made available in the Procurement Gate. - A3. Results of performance evaluation shall be communicated to all Suppliers, encouraging open discussion and constructive feedback. - A4. Corrective action plans shall be developed where necessary, providing Suppliers with an opportunity to improve. - The Supplier performance metric shall be approved by the head of the Procurement and shall be reviewed periodically to align with the business objectives. B - The Procurement shall use Supplier performance to drive relationships which lead to close collaboration, ensure continuity of supply, reduce risk, encourage innovation and generate value for the government entity and Supplier. C.

This chunk outlines the guidelines for managing supplier performance within the procurement process, including periodically evaluating and recording supplier performance, communicating results for feedback, developing corrective action plans, and using performance metrics to drive collaborative relationships that provide value for both the government entity and suppliers.",0.7059402781
